productcode,productname,productdescription,productweight,photourl,hideproduct
193958BLK-S7D,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Black,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and crisp contrast. Ash veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Black counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Cream upholstered seating adds soft texture and a tailored elevated look</li><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Ash veneer and durable wood construction support everyday dining and gathering</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958BLK-S7D-1.jpg,N
193958NAT-S7D,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Natural Oak,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and warm contrast. Ash veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Natural oak counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Cream upholstered seating adds soft texture and a tailored elevated look</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958NAT-S7D-1.jpg,N
193958WAL-S7D,Decker 7-piece 70-inch Counter Height Dining Set Cream and Walnut,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and warm contrast. Walnut veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Walnut counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Cream upholstered seating adds soft texture and a tailored elevated look</li><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Walnut veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958WAL-S7D-1.jpg,N
193958BLK-S7C,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Black,"<p>Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Ash veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Black counter height dining set pairs a 70-inch table with black upholstered chairs</li><li>Black leatherette seating adds a clean tailored look around the full set</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958BLK-S7C-1.jpg,N
193958NAT-S7C,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Black and Natural Oak,"<p>Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Ash veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Black leatherette seating adds a clean tailored look around the full set</li><li>Natural oak counter height dining set pairs a 70-inch table with black upholstered chairs</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958NAT-S7C-1.jpg,N
193958WAL-S7C,Decker 7-piece 70-inch Counter Height Dining Set Black and Walnut,"<p>Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Walnut veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Dark walnut counter height dining set pairs a 70-inch table with black upholstered chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Black leatherette seating adds a clean tailored look around the full set</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Walnut veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958WAL-S7C-1.jpg,N
193958BLK-S7B,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Black,"<p>Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Ash veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Black counter height dining set pairs a 70-inch table with cream upholstered chairs</li><li>Cream upholstered seats soften the set with a calm tailored counter height profile</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958BLK-S7B-1.jpg,N
193958NAT-S7B,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Natural Oak,"<p>Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Ash veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Cream upholstered seats soften the set with a calm tailored counter height profile</li><li>Natural oak counter height dining set pairs a 70-inch table with cream upholstered chairs</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958NAT-S7B-1.jpg,N
193958WAL-S7B,Decker 7-piece 70-inch Counter Height Dining Set Cream and Walnut,"<p>Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Walnut veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Dark walnut counter height dining set pairs a 70-inch table with cream upholstered chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Cream upholstered seats soften the set with a calm tailored counter height profile</li><li>Supportive backs and footrest stretchers keep seating steady and comfortable</li><li>Walnut veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958WAL-S7B-1.jpg,N
193938BLK-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Black,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black counter height dining set pairs a round table with biscuit-tufted velvet chairs</li><li>Cream velvet upholstery adds soft texture and polished modern comfort</li><li>Black finish creates crisp contrast across the table and tapered chair frames</li><li>Rounded chair corners and clean lines create a refined structured profile</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938BLK-S5D-1.jpg,N
193938NAT-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Natural Oak,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Natural oak counter height dining set pairs a round table with biscuit-tufted chairs</li><li>Cream velvet upholstery adds soft texture and polished elevated dining comfort</li><li>Natural oak finish keeps the table and tapered chair frames warm and inviting</li><li>Rounded chair corners and clean lines create a refined structured profile</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938NAT-S5D-1.jpg,N
193938WAL-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Walnut,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Walnut counter height dining set pairs a round table with biscuit-tufted chairs</li><li>Cream velvet upholstery adds soft texture and polished elevated dining comfort</li><li>Walnut finish keeps the table and tapered chair frames warm and inviting</li><li>Rounded chair corners and clean lines create a refined structured profile</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938WAL-S5D-1.jpg,N
193938BLK-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black counter height dining set pairs a round table with tailored black chairs</li><li>Black finish keeps the table and chair frames crisp grounded and cohesive</li><li>Black leatherette upholstery adds polished contrast and a clean dining presence</li><li>Brings a composed look to kitchen meals casual snacks and evening gatherings</li><li>Durable wood construction and foam padding support everyday dining comfort</li><li>Footrest stretchers help support a comfortable and relaxed elevated seat</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938BLK-S5C-1.jpg,N
193938NAT-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black and Natural Oak,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black leatherette upholstery adds polished contrast and a clean dining presence</li><li>Brings a composed look to kitchen meals casual snacks and evening gatherings</li><li>Durable wood construction and foam padding support everyday dining comfort</li><li>Footrest stretchers help support a comfortable and relaxed elevated seat</li><li>Natural oak counter height dining set pairs a round table with tailored chairs</li><li>Natural oak finish keeps the set warm while framing the dark upholstered seats</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938NAT-S5C-1.jpg,N
193938WAL-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black and Walnut,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black leatherette upholstery adds polished contrast and a clean dining presence</li><li>Brings a composed look to kitchen meals casual snacks and evening gatherings</li><li>Durable wood construction and foam padding support everyday dining comfort</li><li>Footrest stretchers help support a comfortable and relaxed elevated seat</li><li>Walnut counter height dining set pairs a round table with tailored chairs</li><li>Walnut finish gives the table and chair frames warm grounded character</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938WAL-S5C-1.jpg,N
193938BLK-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Black,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black counter height dining set pairs a round table with biscuit-tufted velvet chairs</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li><li>Grey velvet upholstery adds soft texture and polished modern comfort</li><li>Black finish creates crisp contrast across the table and tapered chair frames</li><li>Rounded chair corners and clean lines create a refined structured profile</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938BLK-S5E-1.jpg,N
193938NAT-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Natural Oak,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Natural oak counter height dining set pairs a round table with biscuit-tufted chairs</li><li>Grey velvet upholstery adds soft texture and polished elevated dining comfort</li><li>Natural oak finish keeps the table and tapered chair frames warm and inviting</li><li>Rounded chair corners and clean lines create a refined structured profile</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938NAT-S5E-1.jpg,N
193938WAL-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Walnut,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Walnut counter height dining set pairs a round table with biscuit-tufted chairs</li><li>Grey velvet upholstery adds soft texture and polished elevated dining comfort</li><li>Walnut finish keeps the table and tapered chair frames warm and inviting</li><li>Rounded chair corners and clean lines create a refined structured profile</li><li>Durable wood construction and cushioned seats support everyday dining comfort</li><li>Creates an inviting setting for casual meals and relaxed kitchen gatherings</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938WAL-S5E-1.jpg,N
193938BLK-S5B,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Black,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add soft contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Black counter height dining set pairs a round table with cushioned armless chairs</li><li>Black finish gives the table and chair frames crisp contrast and steady presence</li><li>Cream fabric upholstery softens the look with supportive seats and backs</li><li>Durable wood construction and foam padding support everyday dining comfort</li><li>Footrest stretchers help support a comfortable and relaxed elevated seat</li><li>Works well for kitchen gatherings casual meals and relaxed weekend brunches</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938BLK-S5B-1.jpg,N
193938NAT-S5B,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Natural Oak,"<p>This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add soft contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.</p><p><b>Dimensions:</b> 43.25""w x 43.25""d x 36.25""h</p><ul><li>Cream fabric upholstery softens the look with supportive seats and backs</li><li>Durable wood construction and foam padding support everyday dining comfort</li><li>Footrest stretchers help support a comfortable and relaxed elevated seat</li><li>Natural oak counter height dining set pairs a round table with cushioned chairs</li><li>Natural oak finish keeps the set warm bright and easy to place in kitchens</li><li>Works well for kitchen gatherings casual meals and relaxed weekend brunches</li></ul>",84.62,/v/vspfiles/photos/coaster dining/193938NAT-S5B-1.jpg,N
