ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
193958BLK-S7D,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Black,Dining Room Sets,Counter Height Dining Table,Black / Cream,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and crisp contrast. Ash veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Black counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Cream upholstered seating adds soft texture and a tailored elevated look | Biscuit-tufted and tapered legs keep the chair profile clean and refined | Ash veneer and durable wood construction support everyday dining and gathering",14,193958BLK-S7D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-D/193958NAT-S7D
193958NAT-S7D,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Cream,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and warm contrast. Ash veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Biscuit-tufted and tapered legs keep the chair profile clean and refined | Ash veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Natural oak counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Cream upholstered seating adds soft texture and a tailored elevated look",15,193958NAT-S7D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-D/193958NAT-S7D
193958WAL-S7D,Decker 7-piece 70-inch Counter Height Dining Set Cream and Walnut,Dining Room Sets,Counter Height Dining Table,Dark Walnut / Cream,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a tailored modern dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while cream biscuit-tufted chairs with rounded corners and tapered legs add quiet texture and warm contrast. Walnut veneer over durable wood construction supports the elevated profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Walnut counter height dining set pairs a 70-inch table with cream biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Cream upholstered seating adds soft texture and a tailored elevated look | Biscuit-tufted and tapered legs keep the chair profile clean and refined | Walnut veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958WAL-S7D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-D/193958NAT-S7D
193958BLK-S7C,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Black,Dining Room Sets,Counter Height Dining Table,Black / Black,"Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Ash veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Ash veneer and durable wood construction support everyday dining and gathering | Black counter height dining set pairs a 70-inch table with black upholstered chairs | Black leatherette seating adds a clean tailored look around the full set | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Supportive backs and footrest stretchers keep seating steady and comfortable | Thick slab top and tall panel legs give the table a grounded elevated presence",15,193958BLK-S7C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-C/193958NAT-S7C
193958NAT-S7C,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Black and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Black,"Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Ash veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Ash veneer and durable wood construction support everyday dining and gathering | Black leatherette seating adds a clean tailored look around the full set | Natural oak counter height dining set pairs a 70-inch table with black upholstered chairs | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Supportive backs and footrest stretchers keep seating steady and comfortable | Thick slab top and tall panel legs give the table a grounded elevated presence",15,193958NAT-S7C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-C/193958NAT-S7C
193958WAL-S7C,Decker 7-piece 70-inch Counter Height Dining Set Black and Walnut,Dining Room Sets,Counter Height Dining Table,Dark Walnut / Black,"Seven-piece rectangular counter height dining set balances a thick slab-top table with streamlined upholstered seating for a clean elevated dining presence. The 70-inch surface and tall panel legs anchor the room with crisp structure, while black cushioned chairs with supportive backs and footrest stretchers keep the arrangement tailored and easy to gather around. Walnut veneer over durable wood construction supports the composed profile, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Dark walnut counter height dining set pairs a 70-inch table with black upholstered chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Black leatherette seating adds a clean tailored look around the full set | Supportive backs and footrest stretchers keep seating steady and comfortable | Walnut veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958WAL-S7C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-C/193958NAT-S7C
193958BLK-S7B,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Black,Dining Room Sets,Counter Height Dining Table,Black / Cream,"Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Ash veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Ash veneer and durable wood construction support everyday dining and gathering | Black counter height dining set pairs a 70-inch table with cream upholstered chairs | Cream upholstered seats soften the set with a calm tailored counter height profile | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Supportive backs and footrest stretchers keep seating steady and comfortable | Thick slab top and tall panel legs give the table a grounded elevated presence",15,193958BLK-S7B-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-B/193958BLK-S7B
193958NAT-S7B,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Cream and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Cream,"Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Ash veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Ash veneer and durable wood construction support everyday dining and gathering | Cream upholstered seats soften the set with a calm tailored counter height profile | Natural oak counter height dining set pairs a 70-inch table with cream upholstered chairs | Seven-piece layout suits kitchens, islands, and open dining spaces with ease | Supportive backs and footrest stretchers keep seating steady and comfortable | Thick slab top and tall panel legs give the table a grounded elevated presence",15,193958NAT-S7B-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-B/193958BLK-S7B
193958WAL-S7B,Decker 7-piece 70-inch Counter Height Dining Set Cream and Walnut,Dining Room Sets,Counter Height Dining Table,Dark Walnut / Cream,"Seven-piece rectangular counter height dining set creates an elevated place to gather with a thick slab-top table and tailored upholstered seating in clean proportion. The 70-inch surface and tall panel legs anchor the room with modern structure, while cream cushioned chairs with supportive backs and footrest stretchers keep the arrangement calm and welcoming. Walnut veneer over durable wood construction gives the set a grounded presence suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Dark walnut counter height dining set pairs a 70-inch table with cream upholstered chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Cream upholstered seats soften the set with a calm tailored counter height profile | Supportive backs and footrest stretchers keep seating steady and comfortable | Walnut veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958WAL-S7B-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-B/193958BLK-S7B
193938BLK-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Black,Dining Room Sets,Counter Height Dining Table,Black / Cream,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Black counter height dining set pairs a round table with biscuit-tufted velvet chairs | Cream velvet upholstery adds soft texture and polished modern comfort | Black finish creates crisp contrast across the table and tapered chair frames | Rounded chair corners and clean lines create a refined structured profile | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings,13,193938BLK-S5D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-D/193938WAL-S5D
193938NAT-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Cream,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Natural oak counter height dining set pairs a round table with biscuit-tufted chairs | Cream velvet upholstery adds soft texture and polished elevated dining comfort | Natural oak finish keeps the table and tapered chair frames warm and inviting | Rounded chair corners and clean lines create a refined structured profile | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings,13,193938NAT-S5D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-D/193938WAL-S5D
193938WAL-S5D,Hamlyn 5-piece Round Wood Counter Height Dining Set Cream and Walnut,Dining Room Sets,Counter Height Dining Table,Walnut / Cream,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Walnut counter height dining set pairs a round table with biscuit-tufted chairs | Cream velvet upholstery adds soft texture and polished elevated dining comfort | Walnut finish keeps the table and tapered chair frames warm and inviting | Rounded chair corners and clean lines create a refined structured profile | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings,13,193938WAL-S5D-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-D/193938WAL-S5D
193938BLK-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black,Dining Room Sets,Counter Height Dining Table,Black,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Black counter height dining set pairs a round table with tailored black chairs | Black finish keeps the table and chair frames crisp grounded and cohesive | Black leatherette upholstery adds polished contrast and a clean dining presence | Brings a composed look to kitchen meals casual snacks and evening gatherings | Durable wood construction and foam padding support everyday dining comfort | Footrest stretchers help support a comfortable and relaxed elevated seat,13,193938BLK-S5C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-C/193938NAT-S5C
193938NAT-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Black,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Black leatherette upholstery adds polished contrast and a clean dining presence | Brings a composed look to kitchen meals casual snacks and evening gatherings | Durable wood construction and foam padding support everyday dining comfort | Footrest stretchers help support a comfortable and relaxed elevated seat | Natural oak counter height dining set pairs a round table with tailored chairs | Natural oak finish keeps the set warm while framing the dark upholstered seats,13,193938NAT-S5C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-C/193938NAT-S5C
193938WAL-S5C,Hamlyn 5-piece Round Wood Counter Height Dining Set Black and Walnut,Dining Room Sets,Counter Height Dining Table,Walnut / Black,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while cushioned armless chairs add tailored contrast and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Black leatherette upholstery adds polished contrast and a clean dining presence | Brings a composed look to kitchen meals casual snacks and evening gatherings | Durable wood construction and foam padding support everyday dining comfort | Footrest stretchers help support a comfortable and relaxed elevated seat | Walnut counter height dining set pairs a round table with tailored chairs | Walnut finish gives the table and chair frames warm grounded character,13,193938WAL-S5C-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-C/193938NAT-S5C
193938BLK-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Black,Dining Room Sets,Counter Height Dining Table,Black / Grey,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Black counter height dining set pairs a round table with biscuit-tufted velvet chairs | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings | Grey velvet upholstery adds soft texture and polished modern comfort | Black finish creates crisp contrast across the table and tapered chair frames | Rounded chair corners and clean lines create a refined structured profile,13,193938BLK-S5E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-E/193938BLK-S5E
193938NAT-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Grey,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Natural oak counter height dining set pairs a round table with biscuit-tufted chairs | Grey velvet upholstery adds soft texture and polished elevated dining comfort | Natural oak finish keeps the table and tapered chair frames warm and inviting | Rounded chair corners and clean lines create a refined structured profile | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings,13,193938NAT-S5E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-E/193938BLK-S5E
193938WAL-S5E,Hamlyn 5-piece Round Wood Counter Height Dining Set Grey and Walnut,Dining Room Sets,Counter Height Dining Table,Walnut / Grey,"This five-piece counter height dining set creates an elevated gathering spot with a round table and coordinated seating. The clean table silhouette and tall, streamlined base establish a refined focal point, while biscuit-tufted chairs add soft texture and everyday comfort. Durable wood construction supports steady daily use across the set. Designed for casual meals and conversation, it brings warm modern character to kitchen dining areas and open living spaces.","43.25""w x 43.25""d x 36.25""h",84.62,coasterfurniture.com listed,Walnut counter height dining set pairs a round table with biscuit-tufted chairs | Grey velvet upholstery adds soft texture and polished elevated dining comfort | Walnut finish keeps the table and tapered chair frames warm and inviting | Rounded chair corners and clean lines create a refined structured profile | Durable wood construction and cushioned seats support everyday dining comfort | Creates an inviting setting for casual meals and relaxed kitchen gatherings,13,193938WAL-S5E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Hamlyn-Counter-Height-Dining-Set-E/193938BLK-S5E
