productcode,productname,productdescription,productweight,photourl,hideproduct
215971KE-S4,Atlas 4-piece Eastern King Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 79.25""w x 84""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Four-piece eastern king bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",120.16,/v/vspfiles/photos/coaster bedroom/215971KE-S4-1.jpg,N
215971KE-S5,Atlas 5-piece Eastern King Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 79.25""w x 84""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Five-piece eastern king bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",120.16,/v/vspfiles/photos/coaster bedroom/215971KE-S5-1.jpg,N
215971KW-S4,Atlas 4-piece California King Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 79.25""w x 89.25""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Four-piece california king bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",127.85,/v/vspfiles/photos/coaster bedroom/215971KW-S4-1.jpg,N
215971KW-S5,Atlas 5-piece California King Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 79.25""w x 89.25""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Five-piece california king bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",127.85,/v/vspfiles/photos/coaster bedroom/215971KW-S5-1.jpg,N
215971Q-S4,Atlas 4-piece Queen Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 63.25""w x 84""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Four-piece queen bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",102.52,/v/vspfiles/photos/coaster bedroom/215971Q-S4-1.jpg,N
215971Q-S5,Atlas 5-piece Queen Bedroom Set Dark Oak,"<p>Bedroom set with an upholstered, picture-framed headboard and sculpted storage creates a calm room that feels finished from the first glance. Dark oak surfaces show oak-grain embossing over the veneered look for depth, while bevelled arched drawer fronts add raised contour in soft light. Oversized curved pulls in polished black nickel bring a crisp accent, and drawers move on 45mm metal ball bearing glides. Built from engineered wood with okume veneer and rubberwood support, it suits transitional decor and daily routines.</p><p><b>Dimensions:</b> 63.25""w x 84""d x 63.5""h</p><ul><li>45mm metal ball bearing glides support smooth drawer travel for everyday routines</li><li>Bevelled arched drawer fronts add raised contour and a refined transitional presence</li><li>Five-piece queen bedroom set in dark oak frames the room with grey headboard contrast</li><li>Oak-grain embossing over the veneered surface adds realistic depth across the set</li><li>Oversized curved pulls in polished black nickel bring sleek shine and easy access</li><li>Tipover restraint adds stability support, and the bed uses a foundation for support</li></ul>",102.52,/v/vspfiles/photos/coaster bedroom/215971Q-S5-1.jpg,N
223191KE-S4,Ravenne 4-piece Velvet Upholstered Eastern King LED Bedroom Set Black,"<p>Bedroom set dresses the room like a black tuxedo, combining black polyester velvet, bold vertical channels, and white LED touch lighting for a modern art deco mood. Reflective acrylic trim adds durable shine, while coordinating case pieces bring recessed tempered glass tops for everyday ease. Acrylic crystal-like knobs add a glam finish, and drawers glide smoothly with ball bearing hardware and English dovetails for durability. Designed for use with a required foundation, this set keeps nights in polished and composed.</p><p><b>Dimensions:</b> 78.75""w x 89""d x 61""h</p><ul><li>Four piece eastern king bedroom set in black velvet features white LED touch lighting</li><li>LED panel bed showcases vertical channels with durable acrylic reflective trim accents</li><li>Recessed tempered glass tops keep surfaces smooth for everyday bedside use</li><li>Acrylic crystal-like knobs add a glam touch across drawers for a polished look</li><li>Ball bearing glides and English dovetails support smooth, durable drawer use daily</li><li>Engineered wood and foam with velvet upholstery support the coordinated build</li></ul>",197.31,/v/vspfiles/photos/coaster bedroom/223191KE-S4-1.jpg,N
223191KE-S5,Ravenne 5-piece Velvet Upholstered Eastern King LED Bedroom Set Black,"<p>Bedroom set dresses the room like a black tuxedo, combining black polyester velvet, bold vertical channels, and white LED touch lighting for a modern art deco mood. Reflective acrylic trim adds durable shine, while coordinating case pieces bring recessed tempered glass tops for everyday ease. Acrylic crystal-like knobs add a glam finish, and drawers glide smoothly with ball bearing hardware and English dovetails for durability. Designed for use with a required foundation, this set keeps nights in polished and composed.</p><p><b>Dimensions:</b> 78.75""w x 89""d x 61""h</p><ul><li>Five piece eastern king bedroom set in black velvet features white LED touch lighting</li><li>LED panel bed showcases vertical channels with durable acrylic reflective trim accents</li><li>Recessed tempered glass tops keep surfaces smooth for everyday bedside use</li><li>Acrylic crystal-like knobs add a glam touch across drawers for a polished look</li><li>Ball bearing glides and English dovetails support smooth, durable drawer use daily</li><li>Added chest expands drawer storage while keeping the coordinated glam profile</li></ul>",197.31,/v/vspfiles/photos/coaster bedroom/223191KE-S5-1.jpg,N
223191KW-S5,Ravenne 5-piece Velvet Upholstered California King LED Bedroom Set Black,"<p>Bedroom set dresses the room like a black tuxedo, combining black polyester velvet, bold vertical channels, and white LED touch lighting for a modern art deco mood. Reflective acrylic trim adds durable shine, while coordinating case pieces bring recessed tempered glass tops for everyday ease. Acrylic crystal-like knobs add a glam finish, and drawers glide smoothly with ball bearing hardware and English dovetails for durability. Designed for use with a required foundation, this set keeps nights in polished and composed.</p><p><b>Dimensions:</b> 75""w x 94.5""d x 61""h</p><ul><li>Five piece california king bedroom set in black velvet features white LED touch lighting</li><li>LED panel bed showcases vertical channels with durable acrylic reflective trim accents</li><li>Recessed tempered glass tops keep surfaces smooth for everyday bedside use</li><li>Acrylic crystal-like knobs add a glam touch across drawers for a polished look</li><li>Ball bearing glides and English dovetails support smooth, durable drawer use daily</li><li>Added chest expands drawer storage while keeping the coordinated glam profile</li></ul>",195.11,/v/vspfiles/photos/coaster bedroom/223191KW-S5-1.jpg,N
223191KW-S4,Ravenne 4-piece Velvet Upholstered California King LED Bedroom Set Black,"<p>Bedroom set dresses the room like a black tuxedo, combining black polyester velvet, bold vertical channels, and white LED touch lighting for a modern art deco mood. Reflective acrylic trim adds durable shine, while coordinating case pieces bring recessed tempered glass tops for everyday ease. Acrylic crystal-like knobs add a glam finish, and drawers glide smoothly with ball bearing hardware and English dovetails for durability. Designed for use with a required foundation, this set keeps nights in polished and composed.</p><p><b>Dimensions:</b> 75""w x 94.5""d x 61""h</p><ul><li>Four piece california king bedroom set in black velvet features white LED touch lighting</li><li>LED panel bed showcases vertical channels with durable acrylic reflective trim accents</li><li>Recessed tempered glass tops keep surfaces smooth for everyday bedside use</li><li>Acrylic crystal-like knobs add a glam touch across drawers for a polished look</li><li>Ball bearing glides and English dovetails support smooth, durable drawer use daily</li><li>Engineered wood and foam with velvet upholstery support the coordinated build</li></ul>",195.11,/v/vspfiles/photos/coaster bedroom/223191KW-S4-1.jpg,N
223191Q-S4,Ravenne 4-piece Velvet Upholstered Queen LED Bedroom Set Black,"<p>Bedroom set dresses the room like a black tuxedo, combining black polyester velvet, bold vertical channels, and white LED touch lighting for a modern art deco mood. Reflective acrylic trim adds durable shine, while coordinating case pieces bring recessed tempered glass tops for everyday ease. Acrylic crystal-like knobs add a glam finish, and drawers glide smoothly with ball bearing hardware and English dovetails for durability. Designed for use with a required foundation, this set keeps nights in polished and composed.</p><p><b>Dimensions:</b> 63.25""w x 89""d x 61""h</p><ul><li>Four piece queen bedroom set in black velvet features white LED touch lighting</li><li>LED panel bed showcases vertical channels with durable acrylic reflective trim accents</li><li>Recessed tempered glass tops keep surfaces smooth for everyday bedside use</li><li>Acrylic crystal-like knobs add a glam touch across drawers for a polished look</li><li>Ball bearing glides and English dovetails support smooth, durable drawer use daily</li><li>Engineered wood and foam with velvet upholstery support the coordinated build</li></ul>",179.68,/v/vspfiles/photos/coaster bedroom/223191Q-S4-1.jpg,N
