productcode,productname,productprice,saleprice,productcategory,productweight,hideproduct,freeshippingitem,productdescription,productiondescription,techspecs,productkeywords,metatag_description,metatag_keywords,metatag_title
Karina-Sideboard,Karina Sideboard by Steve Silver,699,699,217,230,,N,"The Karina Sideboard gives a dining room, entry, or entertaining area a refined storage piece with a marble-style top, glass-front doors, glass shelving, and interior lighting. The clean finish and illuminated display area make it useful for serving, storage, or showing decorative pieces.","The Karina Server brings refined dining-room storage with a marble-style top, glass-front doors, glass shelving, and interior lighting. The clean finish and illuminated display area make it useful for serving, storage, or showcasing decorative pieces.","• Marble-style top with glass-front doors
• Interior lighting for display and serving
• Glass shelving and enclosed storage
• Transitional dining-room styling
• Useful for serving, storage, or display","Karina sideboard, Steve Silver server, dining room buffet, storage cabinet, glass door server, dining storage","Shop Karina Sideboard by Steve Silver at McCabe's Theater & Living. The Karina Server brings refined dining-room storage with a marble-style top, glass-front doors, glass shelving, and interior lighting. The.","Karina sideboard, Steve Silver server, dining room buffet, storage cabinet, glass door server, dining storage",Karina Sideboard by Steve Silver
Laurel Grey Leather Sofa,Laurel Grey Leather Sofa,1749,,177,,Y,N,Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The grey sofa and loveseat feature dual reclining seats and the loveseat feature a console with cup holders and hidden storage.,Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The grey sofa and loveseat feature dual reclining seats and the loveseat feature a console with cup holders and hidden storage.,• Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on th,"reclining sofa, reclining sectional, leather sofa, leather sectional, sofa sectional, steve silver sofa, steve silver couch, steve silver living room",Shop Laurel Grey Leather Sofa at McCabe's Theater & Living. Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and.,"steve silver sofa, steve silver sectional, home theater sofa, theatre sofa, media room sofa, media room sectional, home theater sectional, steve silver sofa, steve silver sectional, media sofa, theater sofa, home theater sofa, power recline sofa, home theatre sofa, media room sofa, living room furniture, leather sofa,  leather couch",Laurel Grey Leather Sofa
Laurel Ivory Leather Sofa,Laurel Ivory Leather Sofa,1749,,177,,Y,N,Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The ivory loveseat feature dual reclining seats and a console with cup holders and hidden storage.,Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on the control panel along with a home button to return the piece to its original position. The ivory loveseat feature dual reclining seats and a console with cup holders and hidden storage.,• Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and convenience with USB charging port on th,"reclining sofa, reclining sectional, leather sofa, leather sectional, sofa sectional, steve silver sofa, steve silver couch, steve silver living room",Shop Laurel Ivory Leather Sofa at McCabe's Theater & Living. Contemporary styled collection constructed in leather with power leg rest and power articulating headrest. Laurel features both styling and.,"steve silver sofa, steve silver sectional, home theater sofa, theatre sofa, media room sofa, media room sectional, home theater sectional, steve silver sofa, steve silver sectional, media sofa, theater sofa, home theater sofa, power recline sofa, home theatre sofa, media room sofa, living room furniture, leather sofa,  leather couch",Laurel Ivory Leather Sofa
Laurel-Sofa-Loveseat,Laurel Power Reclining Loveseat by Steve Silver,799,799,147,185,,N,"The Laurel Sofa or Loveseat adds contemporary motion seating with top-grain leather seating areas, power reclining leg rests, adjustable power headrests, and high-resiliency foam cushions. It is designed for a polished living room or media room where comfort still needs to look pulled together.","Contemporary Laurel motion loveseat constructed with top-grain leather seating areas, power leg rest, power articulating headrest, USB charging, and a center console with cupholders and hidden storage.","• Power reclining loveseat with console
• Top-grain leather seating with vinyl sides and backs
• Power headrest and footrest with USB charging
• Center console with cupholders and storage
• High-resiliency foam cushioning","Laurel loveseat, Steve Silver power reclining loveseat, leather loveseat, reclining loveseat, motion furniture","Shop Laurel Power Reclining Loveseat by Steve Silver at McCabe's Theater & Living. Contemporary Laurel motion loveseat constructed with top-grain leather seating areas, power leg rest, power articulating headrest, USB charg.","Laurel loveseat, Steve Silver power reclining loveseat, leather loveseat, reclining loveseat, motion furniture",Laurel Power Reclining Loveseat by Steve Silver
Lavon Black Leatherette sofa,Lavon Black Leatherette sofa,1449,,177,,Y,N,This sporty Reclining Set boasts power footrest and power headrest in a package that is the most comfortable you will find anywhere. Horizontal channeled back and extra padding on the Headrest and Armrest add plush comfort to this special set. Each arm features a lift-top armrest for hidden storage that offers a great storing place for remotes and electronic devices. Never lose your phone again with this handy cubby nearby. The sleek midnight color leatherette is easy care and the neutral palette ensures it will match any decor. The Sofa features a Drop-down center console offers space for two more cupholders and  power strip with two electrical outlets and two USB ports so your devices never run out of power while the Loveseat sports a Center Console with hidden storage and two additions cupholders.,This sporty Reclining Set boasts power footrest and power headrest in a package that is the most comfortable you will find anywhere. Horizontal channeled back and extra padding on the Headrest and Armrest add plush comfort to this special set. Each arm features a lift-top armrest for hidden storage that offers a great storing place for remotes and electronic devices. Never lose your phone again with this handy cubby nearby. The sleek midnight color leatherette is easy care and the neutral palette ensures it will match any decor. The Sofa features a Drop-down center console offers space for two more cupholders and  power strip with two electrical outlets and two USB ports so your devices never run out of power while the Loveseat sports a Center Console with hidden storage and two additions cupholders.,• This sporty Reclining Set boasts power footrest and power headrest in a package that is the most comfortable you will find anywhere. Horizontal channeled back and extra padding on ,"reclining sofa, reclining sectional, leather sofa, leather sectional, sofa sectional, steve silver sofa, steve silver couch, steve silver living room",Shop Lavon Black Leatherette sofa at McCabe's Theater & Living. This sporty Reclining Set boasts power footrest and power headrest in a package that is the most comfortable you will find anywhere. Horizon.,"steve silver sofa, steve silver sectional, home theater sofa, theatre sofa, media room sofa, media room sectional, home theater sectional, steve silver sofa, steve silver sectional, media sofa, theater sofa, home theater sofa, power recline sofa, home theatre sofa, media room sofa, living room furniture, leather sofa,  leather couch",Lavon Black Leatherette sofa
Level-Sofa,Lovell Sofa by Steve Silver,799,799,177,195,,N,The Lovell Sofa offers approachable everyday comfort with a clean profile for versatile living room seating. Use it as a standalone sofa or as the anchor piece for a coordinated living room group.,The Lovell Sofa offers approachable everyday comfort with a clean profile for versatile living room seating as a standalone sofa or coordinated group anchor.,"• Stationary living room sofa
• Clean, versatile everyday profile
• Comfort-focused seating for family rooms and living rooms
• Coordinates with matching loveseat pieces where available","Lovell sofa, Steve Silver sofa, living room sofa, stationary sofa, family room seating",Shop Lovell Sofa by Steve Silver at McCabe's Theater & Living. The Lovell Sofa offers approachable everyday comfort with a clean profile for versatile living room seating as a standalone sofa or coordina.,"Lovell sofa, Steve Silver sofa, living room sofa, stationary sofa, family room seating",Lovell Sofa by Steve Silver
Molly-Olson-Dining-Set,Molly Olson 5-Piece Dining Set by Steve Silver,699,699,215,210,,N,The Molly Olson 5-Piece Dining Set pairs a round glass tabletop with sleek upholstered chairs for a clean mid-century inspired dining look. Iron legs and a warm wood-tone base detail give the set visual interest without making the room feel heavy.,The Molly 48-inch round dining set pairs a glass tabletop with sleek upholstered chairs for a clean mid-century inspired look. Iron legs and warm wood-tone base details add visual interest without overwhelming the room.,"• 5-piece set with 48-inch round glass-top table and four upholstered chairs
• Mid-century inspired iron and wood base
• Sleek upholstered seating
• Light, open visual profile for smaller dining spaces
• Table: 48-inch round","Molly Olson dining set, Steve Silver dining set, glass dining table, round dining set, mid century dining room",Shop Molly Olson 5-Piece Dining Set by Steve Silver at McCabe's Theater & Living. The Molly 48-inch round dining set pairs a glass tabletop with sleek upholstered chairs for a clean mid-century inspired look. Iron legs and.,"Molly Olson dining set, Steve Silver dining set, glass dining table, round dining set, mid century dining room",Molly Olson 5-Piece Dining Set by Steve Silver
Natalia Mocha Leather Sofa,Natalia Mocha Leather Sofa,1749,,177,,Y,N,"Decadent seating comfort awaits you in Natalia, the top-grain leather seating motion set from Steve Silver Company. This collection features contemporary style and is available in fashion-forward colors that are sure to impress. But this collection is about more than style with power articulating headrest, power footrest and USB charging station so you never have to leave your seat.","Decadent seating comfort awaits you in Natalia, the top-grain leather seating motion set from Steve Silver Company. This collection features contemporary style and is available in fashion-forward colors that are sure to impress. But this collection is about more than style with power articulating headrest, power footrest and USB charging station so you never have to leave your seat.","Constructed of top-grain leather on all seating areas and polyurethane sides and backs
Power articulating headrest and power footrest with control panel that has USB port and home button to return seat and headrest to original position
High-resiliency foam seating
Contemporary styling
Color shown: coach","reclining sofa, reclining sectional, leather sofa, leather sectional, sofa sectional, steve silver sofa, steve silver couch, steve silver living room","Shop Natalia Mocha Leather Sofa at McCabe's Theater & Living. Decadent seating comfort awaits you in Natalia, the top-grain leather seating motion set from Steve Silver Company. This collection features.","steve silver sofa, steve silver sectional, home theater sofa, theatre sofa, media room sofa, media room sectional, home theater sectional, steve silver sofa, steve silver sectional, media sofa, theater sofa, home theater sofa, power recline sofa, home theatre sofa, media room sofa, living room furniture, leather sofa,  leather couch",Natalia Mocha Leather Sofa
Natalia-Sofa-Loveseat,Natalia Power Reclining Loveseat by Steve Silver,799,799,147,185,,N,"The Natalia Sofa Loveseat group offers sophisticated motion seating with top-grain leather where the body touches, power articulating headrests, power footrests, USB charging, and high-resiliency foam seating. The warm coach/caramel tone gives the room a rich leather look without feeling overly traditional.","Decadent Natalia motion loveseat with top-grain leather seating areas, power articulating headrest, power footrest, USB charging, and high-resiliency foam in a warm coach/caramel leather tone.","• Power reclining loveseat
• Top-grain leather on seating areas
• Power headrest and footrest with USB charging
• High-resiliency foam cushioning
• Warm coach/caramel leather color","Natalia loveseat, Steve Silver power reclining loveseat, leather reclining loveseat, motion furniture, power loveseat","Shop Natalia Power Reclining Loveseat by Steve Silver at McCabe's Theater & Living. Decadent Natalia motion loveseat with top-grain leather seating areas, power articulating headrest, power footrest, USB charging, and high-r.","Natalia loveseat, Steve Silver power reclining loveseat, leather reclining loveseat, motion furniture, power loveseat",Natalia Power Reclining Loveseat by Steve Silver
Park-City-Sectional,Park City 6-Piece Power Reclining Sectional by Steve Silver,1999,1999,188,465,,N,"The Park City 6-Piece Sectional offers modular dual-power reclining comfort with adjustable headrests and footrests, wide seating, USB controls, and gray herringbone-style stain-resistant fabric. It is built for media rooms, family rooms, and larger spaces that need flexible seating.","Park City modular dual-power reclining sectional with adjustable headrests and footrests, wide seating, USB controls, and gray herringbone-style stain-resistant fabric for media rooms and family rooms.","• 6-piece modular power reclining sectional
• Dual-power headrest and footrest controls
• USB charging on reclining components
• Gray herringbone stain-resistant fabric
• Wide seating for media and family rooms","Park City sectional, Steve Silver power reclining sectional, modular sectional, media room sectional, reclining sectional","Shop Park City 6-Piece Power Reclining Sectional by Steve Silver at McCabe's Theater & Living. Park City modular dual-power reclining sectional with adjustable headrests and footrests, wide seating, USB controls, and gray herringbone-s.","Park City sectional, Steve Silver power reclining sectional, modular sectional, media room sectional, reclining sectional",Park City 6-Piece Power Reclining Sectional by Steve Silver
Ramona-Dining-Set,Ramona 5-Piece Dining Set by Steve Silver,699,699,215,205,,N,"The Ramona 5-Piece Dining Set brings a clean, modern look to everyday dining with a round white marble-style tabletop, slim metal base, and four shaped upholstered side chairs. Its mixed-material design keeps the room light and polished while still feeling comfortable enough for daily meals.","Ramona brings mid-century modern mixed-material style to the dining room with a 44-inch round white marble top, architecturally shaped dark bronze metal base, and ergonomically shaped faux rawhide chairs that work beautifully for dining or guest seating.","• 5-piece set with 44-inch round white marble-top table and four side chairs
• Powder-coated dark bronze iron base
• Mid-century canted-leg chairs with faux rawhide upholstery
• Mixed-material modern styling
• Table: 44W x 44D x 30H in.","Ramona dining set, Steve Silver dining set, marble dining table, round dining table, mid century dining, 5 piece dining set","Shop Ramona 5-Piece Dining Set by Steve Silver at McCabe's Theater & Living. Ramona brings mid-century modern mixed-material style to the dining room with a 44-inch round white marble top, architecturally shaped dark.","Ramona dining set, Steve Silver dining set, marble dining table, round dining table, mid century dining, 5 piece dining set",Ramona 5-Piece Dining Set by Steve Silver
Sapphire-Sleep-Cal-King,Sapphire Sleep 14-Inch California King Mattress by Steve Silver,799,799,181,105,,N,"The Sapphire Sleep 14-Inch California King Mattress is built for cooling comfort with a phase-change cover, copper-infused fiber, and layered foam construction. Gel memory foam and support layers help disperse heat while providing contouring comfort for a full night's rest.","Sapphire Sleep 14-inch California King mattress with phase-change cover, copper-infused fiber, gel memory foam, and support layers designed for cooling comfort and contouring support.","• 14-inch California King mattress
• Phase-change cooling cover
• Copper-infused fiber and gel memory foam layers
• Designed for cooling comfort and contouring support","Sapphire Sleep mattress, California King mattress, cooling mattress, gel memory foam mattress, Steve Silver mattress","Shop Sapphire Sleep 14-Inch California King Mattress by Steve Silver at McCabe's Theater & Living. Sapphire Sleep 14-inch California King mattress with phase-change cover, copper-infused fiber, gel memory foam, and support layers designed.","Sapphire Sleep mattress, California King mattress, cooling mattress, gel memory foam mattress, Steve Silver mattress",Sapphire Sleep 14-Inch California King Mattress by Steve Silver
SS-2968479,Gatlin Dual Power Recliner,750,,149,155,,N,Gatlin Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Low-pile 100% polyester light tan fabric with contrasting vinyl welt is plush and velvety to the touch; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveseat has stainless steel cupholders; USB-A/USB-C chargers and power; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or.,Gatlin Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Low-pile 100% polyester light tan fabric with contrasting vinyl welt is plush and velvety to the touch; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveseat has stainless steel cupholders; USB-A/USB-C chargers and power; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or.,"• 44 inW x 41 inD x 40 inH
• Dual-Power Recline: Independent headrest and footrest controls for personalized comfort
• Kiln-dried hardwood frame with reinforced support
• high-density foam
• and 350 lb. capacity per seat
• Low-pile 100% polyester light tan fabric with contrasting vinyl welt is plush and velvety to the touch",Gatlin Dual Power Reclining; Steve Silver; Upholstery; Leather Power Reclining,Shop Gatlin Dual Power Reclining by Steve Silver.,,Gatlin Dual Power Recliner
SS-2968622,Olsen Dual Power Recliner,750,,149,155,,N,Olsen Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Cool; neutral polyester in silver with a soft velvety feel; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveset with stainless steel cupholders; USB-A/USB-C chargers and power outlets.; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or.,Olsen Dual Power Reclining by Steve Silver. Dimensions: 44 inW x 41 inD x 40 inH Features: Dual-Power Recline: Independent headrest and footrest controls for personalized comfort; Kiln-dried hardwood frame with reinforced support; high-density foam; and 350 lb. capacity per seat.; Cool; neutral polyester in silver with a soft velvety feel; USB-A/USB-C charging on outer arms and inside storage console; Wall-saver zero-gravity recline needs only 3 in of wall clearane; Lift-top storage on Loveset with stainless steel cupholders; USB-A/USB-C chargers and power outlets.; Modular Seating Flexibility: Mix-and-match pieces to build anything from a sectional to a sofa or.,"• 44 inW x 41 inD x 40 inH
• Dual-Power Recline: Independent headrest and footrest controls for personalized comfort
• Kiln-dried hardwood frame with reinforced support
• high-density foam
• and 350 lb. capacity per seat
• neutral polyester in silver with a soft velvety feel",Olsen Dual Power Reclining; Steve Silver; Upholstery; Leather Power Reclining,Shop Olsen Dual Power Reclining by Steve Silver.,,Olsen Dual Power Reclining
